Latitude,Longitude,birth_date,maxtempC,mintempC,totalSnow_cm,sunHour,tempC,windspeedKmph,winddirDegree,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,season
48.670982,-116.81371,2018-12-21 15:54:06,0,-7,0.6,8.2,-2.0,10.0,228.0,0.0,79.0,10.0,1019,35.0,-2.0,-5.0,-5.0,11.0,-5.0,1,07:38 AM,03:54 PM,winter
44.62163,-91.96111,2018-06-03 05:11:22,17,10,0.0,11.5,10.0,13.0,263.0,0.0,94.0,10.0,1011,32.0,10.0,9.0,9.0,26.0,9.0,1,04:25 AM,07:48 PM,summer
33.558273,-99.24713,2018-03-15 19:15:24,26,12,0.0,11.6,23.0,24.0,189.0,0.0,44.0,10.0,1003,4.0,25.0,10.0,23.0,43.0,25.0,1,06:47 AM,06:45 PM,spring
52.445717,-108.81929,2019-01-02 15:46:10,-2,-5,0.0,2.0,-2.0,17.0,249.0,0.0,82.0,10.0,1003,91.0,-1.0,-3.0,-6.0,36.0,-6.0,1,09:26 AM,05:13 PM,winter
42.61672,-89.367935,2018-08-07 15:44:35,23,18,0.0,12.3,23.0,10.0,74.0,0.0,81.0,10.0,1013,45.0,25.0,20.0,23.0,11.0,25.0,1,04:56 AM,07:10 PM,summer
43.40546,-109.64431,2018-08-31 04:56:23,19,9,0.0,13.1,10.0,9.0,278.0,0.0,54.0,10.0,1012,2.0,10.0,1.0,9.0,19.0,9.0,1,05:42 AM,06:55 PM,summer
47.241817,-102.76393,2018-07-05 07:47:23,27,14,0.0,14.5,14.0,6.0,38.0,0.0,71.0,10.0,1031,3.0,14.0,9.0,14.0,11.0,14.0,1,04:02 AM,07:50 PM,summer
36.1423,-100.93682,2018-03-15 05:23:14,26,11,0.0,11.6,13.0,32.0,208.0,0.0,41.0,10.0,1007,2.0,13.0,0.0,10.0,54.0,10.0,1,06:54 AM,06:51 PM,spring
40.55912,-78.39741500000002,2018-06-16 10:07:28,29,11,0.0,14.5,26.0,2.0,220.0,0.0,46.0,10.0,1018,12.0,27.0,14.0,26.0,2.0,27.0,1,04:42 AM,07:47 PM,summer
36.806538,-90.75088,2018-10-18 18:58:46,17,8,0.0,8.7,11.0,7.0,62.0,0.0,50.0,10.0,1029,9.0,12.0,1.0,11.0,15.0,11.0,1,06:13 AM,05:23 PM,autumn
42.49212,-88.17594,2018-03-08 11:29:24,-1,-8,0.1,7.2,-5.0,19.0,310.0,0.0,76.0,10.0,1019,34.0,-5.0,-9.0,-12.0,23.0,-12.0,1,06:16 AM,05:51 PM,spring
40.76001,-84.54312,2018-09-05 03:05:14,30,23,0.0,11.6,23.0,10.0,196.0,1.3,92.0,9.0,1021,6.0,25.0,21.0,23.0,20.0,25.0,1,06:09 AM,07:04 PM,autumn
51.40974,-76.11481500000002,2018-12-15 14:49:16,-2,-6,0.1,2.8,-4.0,17.0,266.0,0.0,87.0,10.0,1020,94.0,-4.0,-5.0,-9.0,22.0,-9.0,1,08:03 AM,03:56 PM,winter
49.167435,-107.86812,2018-05-15 15:13:24,28,14,0.0,14.5,28.0,16.0,227.0,0.0,22.0,10.0,1009,0.0,26.0,4.0,28.0,19.0,26.0,1,05:29 AM,08:48 PM,spring
47.25893,-84.49588,2018-04-27 04:49:57,6,0,0.0,8.8,0.0,7.0,350.0,0.5,94.0,9.0,1009,21.0,0.0,-1.0,-2.0,12.0,-2.0,1,05:29 AM,07:44 PM,spring
45.23673,-121.31829,2018-02-24 16:49:59,0,-2,0.8,8.7,-1.0,22.0,275.0,0.0,87.0,10.0,1023,40.0,-1.0,-2.0,-6.0,30.0,-6.0,1,06:52 AM,05:46 PM,winter
35.73832700000001,-108.77766,2018-09-20 22:00:39,23,14,0.0,11.6,17.0,12.0,320.0,0.0,26.0,10.0,1013,0.0,17.0,-2.0,17.0,22.0,17.0,1,06:02 AM,06:15 PM,autumn
35.896133,-106.684715,2018-08-13 20:07:14,27,14,0.0,13.4,24.0,18.0,313.0,0.0,42.0,10.0,1010,5.0,25.0,10.0,24.0,21.0,25.0,1,05:24 AM,06:59 PM,summer
47.98629,-92.76072,2018-03-29 00:50:00,-2,-11,0.2,10.6,-7.0,12.0,311.0,0.0,90.0,10.0,1019,91.0,-7.0,-8.0,-12.0,17.0,-12.0,1,05:55 AM,06:37 PM,spring
30.746893,-92.75952,2018-11-16 16:59:33,18,5,0.0,8.7,18.0,8.0,189.0,0.0,44.0,10.0,1022,0.0,18.0,5.0,18.0,9.0,18.0,1,06:38 AM,05:13 PM,autumn
28.143383,-110.62526,2018-11-03 01:57:31,29,23,0.0,8.7,24.0,8.0,315.0,0.0,49.0,10.0,1013,0.0,25.0,13.0,24.0,16.0,25.0,1,06:35 AM,05:37 PM,autumn
45.20573,-103.782295,2018-11-09 22:07:50,-7,-15,0.0,8.7,-9.0,24.0,161.0,0.0,55.0,10.0,1024,75.0,-9.0,-16.0,-17.0,36.0,-17.0,1,06:45 AM,04:32 PM,autumn
36.87084,-111.10717,2019-01-14 12:13:17,3,0,0.0,8.7,2.0,6.0,44.0,0.0,68.0,10.0,1028,25.0,3.0,-2.0,0.0,8.0,0.0,1,07:37 AM,05:31 PM,winter
36.687702,-100.78997,2019-01-16 01:10:46,10,-1,0.0,8.7,3.0,6.0,63.0,0.0,92.0,10.0,1019,69.0,4.0,0.0,3.0,14.0,3.0,1,07:55 AM,05:52 PM,winter
31.494640000000004,-116.930244,2018-06-09 13:01:35,25,15,0.0,14.1,25.0,16.0,282.0,0.0,46.0,10.0,1012,0.0,26.0,13.0,25.0,19.0,26.0,1,04:42 AM,06:52 PM,summer
52.253098,-96.14977,2018-03-23 17:14:07,1,-9,0.0,7.5,1.0,19.0,115.0,0.0,73.0,10.0,1030,73.0,2.0,-3.0,-3.0,25.0,-3.0,1,06:20 AM,06:43 PM,spring
41.224983,-115.23303,2018-12-27 01:35:18,-5,-12,1.6,5.2,-7.0,10.0,246.0,1.0,96.0,2.0,1021,89.0,-7.0,-7.0,-11.0,15.0,-11.0,1,07:06 AM,04:19 PM,winter
36.725525,-89.629875,2018-02-01 03:37:34,9,-3,0.8,5.5,7.0,10.0,238.0,0.0,92.0,10.0,1014,65.0,7.0,6.0,5.0,20.0,5.0,1,07:00 AM,05:24 PM,winter
32.817840000000004,-109.54766,2018-11-04 07:30:29,20,10,0.0,8.7,10.0,4.0,35.0,0.0,39.0,10.0,1018,1.0,10.0,-3.0,10.0,9.0,10.0,1,06:39 AM,05:25 PM,autumn
39.7036,-90.58851,2019-02-17 10:24:21,1,-3,0.9,4.1,-2.0,10.0,118.0,0.2,89.0,11.0,1011,100.0,-1.0,-2.0,-4.0,14.0,-4.0,1,06:52 AM,05:41 PM,winter
29.573202,-93.40128,2018-11-17 15:08:49,20,9,0.0,7.1,20.0,10.0,146.0,0.0,59.0,10.0,1021,33.0,20.0,11.0,20.0,12.0,20.0,1,06:39 AM,05:18 PM,autumn
44.956047,-78.79522,2019-03-11 01:26:48,-1,-6,5.1,5.9,-0.0,26.0,264.0,1.0,85.0,2.0,1009,100.0,-0.0,-3.0,-6.0,38.0,-6.0,1,06:35 AM,06:16 PM,spring
36.5584,-79.82247,2019-01-13 00:05:09,2,-3,0.2,3.7,-4.0,3.0,63.0,4.8,96.0,4.0,1026,100.0,-3.0,2.0,-4.0,11.0,-4.0,1,07:31 AM,05:25 PM,winter
41.57803300000001,-82.40159,2018-11-04 15:37:14,12,7,0.0,8.7,12.0,24.0,133.0,0.0,65.0,10.0,1022,34.0,13.0,6.0,10.0,36.0,10.0,1,07:05 AM,05:21 PM,autumn
46.34775,-119.74222,2019-03-20 05:29:35,16,4,0.0,11.6,5.0,8.0,345.0,0.0,75.0,10.0,1020,0.0,5.0,1.0,3.0,16.0,3.0,1,06:02 AM,06:11 PM,spring
33.640484,-119.66719,2018-02-17 18:35:20,17,16,0.0,11.0,16.0,9.0,286.0,0.0,68.0,10.0,1018,0.0,16.0,10.0,16.0,15.0,16.0,1,07:41 AM,06:45 PM,winter
31.778238,-86.95506,2019-01-11 14:46:25,11,2,0.0,8.7,10.0,7.0,111.0,0.0,42.0,10.0,1025,9.0,11.0,-2.0,10.0,9.0,10.0,1,06:49 AM,05:03 PM,winter
31.887257,-111.34768,2018-08-13 07:46:41,33,24,0.0,13.6,24.0,4.0,214.0,0.0,75.0,10.0,1014,7.0,26.0,20.0,25.0,5.0,26.0,1,05:49 AM,07:11 PM,summer
44.853203,-99.25544,2019-01-12 11:28:17,-6,-11,0.3,3.4,-10.0,9.0,7.0,0.0,89.0,3.0,1032,99.0,-9.0,-11.0,-15.0,17.0,-15.0,1,08:13 AM,05:18 PM,winter
31.670055,-104.42415,2018-09-20 18:01:02,26,20,0.0,10.2,21.0,19.0,239.0,0.0,74.0,10.0,1009,70.0,21.0,16.0,21.0,23.0,21.0,1,06:45 AM,06:57 PM,autumn
51.54351,-104.956604,2018-11-20 23:17:43,0,-4,0.0,3.3,-3.0,19.0,103.0,0.0,95.0,10.0,1019,100.0,-3.0,-4.0,-9.0,30.0,-9.0,1,08:26 AM,05:04 PM,autumn
38.59537,-101.15931,2018-06-03 16:47:37,29,16,0.0,14.5,29.0,23.0,167.0,0.0,22.0,10.0,1018,6.0,27.0,5.0,29.0,27.0,27.0,1,05:22 AM,08:05 PM,summer
48.320084,-115.655975,2018-06-23 04:25:55,16,7,0.0,11.8,7.0,4.0,235.0,0.0,97.0,2.0,1012,38.0,7.0,7.0,7.0,8.0,7.0,1,04:42 AM,08:48 PM,summer
35.485123,-93.81175,2018-11-08 23:53:07,14,8,0.0,5.6,8.0,9.0,30.0,0.1,83.0,10.0,1022,100.0,8.0,5.0,7.0,14.0,7.0,1,06:44 AM,05:14 PM,autumn
34.11338,-80.777275,2018-09-02 14:28:54,33,23,0.0,12.9,33.0,12.0,88.0,0.0,50.0,10.0,1023,10.0,36.0,21.0,33.0,14.0,36.0,1,05:57 AM,06:47 PM,autumn
45.44168,-77.190765,2018-08-09 18:19:49,25,12,0.0,14.2,20.0,10.0,336.0,0.0,70.0,10.0,1010,14.0,20.0,14.0,20.0,19.0,20.0,1,05:02 AM,07:26 PM,summer
51.32693,-84.6452,2018-03-02 15:52:49,-3,-14,0.0,10.1,-3.0,3.0,40.0,0.0,76.0,10.0,1033,42.0,-3.0,-6.0,-4.0,4.0,-4.0,1,07:21 AM,06:21 PM,spring
35.72736,-78.23161999999998,2018-01-04 14:49:23,-1,-6,0.5,8.7,-1.0,24.0,296.0,0.0,48.0,10.0,1010,11.0,-1.0,-10.0,-7.0,30.0,-7.0,1,07:24 AM,05:13 PM,winter
50.53507000000001,-77.629395,2018-12-17 10:54:16,-1,-12,0.8,3.0,-8.0,19.0,304.0,0.1,81.0,5.0,1009,100.0,-8.0,-10.0,-15.0,25.0,-15.0,1,08:06 AM,04:07 PM,winter
48.867,-76.19845,2019-01-02 03:11:39,-23,-30,0.0,3.2,-29.0,7.0,228.0,0.0,79.0,0.0,1026,90.0,-28.0,-30.0,-36.0,16.0,-36.0,1,07:58 AM,04:19 PM,winter
40.370724,-119.104866,2019-03-11 09:36:06,9,1,0.0,8.7,2.0,9.0,29.0,0.0,60.0,10.0,1023,11.0,2.0,-5.0,-1.0,12.0,-1.0,1,06:14 AM,05:59 PM,spring
46.599335,-76.91748,2018-07-18 20:20:24,25,8,0.0,14.5,18.0,4.0,284.0,0.0,53.0,10.0,1016,8.0,18.0,8.0,18.0,8.0,18.0,1,04:32 AM,07:55 PM,summer
41.461533,-92.37176,2018-01-24 11:19:59,2,-4,0.0,8.7,-3.0,10.0,289.0,0.0,75.0,10.0,1028,37.0,-3.0,-6.0,-6.0,14.0,-6.0,1,07:28 AM,05:16 PM,winter
29.722317,-92.60782,2018-11-27 07:38:15,13,2,0.0,8.7,2.0,8.0,350.0,0.0,67.0,10.0,1025,32.0,2.0,-3.0,-0.0,15.0,-0.0,1,06:45 AM,05:11 PM,autumn
32.193317,-90.49899,2018-04-02 17:23:01,25,14,0.0,11.9,25.0,12.0,204.0,0.0,60.0,10.0,1013,51.0,26.0,17.0,25.0,13.0,26.0,1,05:49 AM,06:22 PM,spring
51.2193,-89.70413,2019-03-29 23:03:10,-2,-11,2.5,6.4,-5.0,22.0,353.0,1.2,81.0,14.0,1018,83.0,-1.0,-11.0,-5.0,31.0,-5.0,1,06:41 AM,07:27 PM,spring
41.33338,-118.65382,2018-07-27 20:53:47,35,24,0.0,14.5,32.0,15.0,277.0,0.0,10.0,10.0,1010,5.0,30.0,-4.0,32.0,23.0,30.0,1,04:45 AM,07:17 PM,summer
29.891935,-121.46707,2018-12-26 20:12:11,16,15,0.0,10.1,16.0,36.0,320.0,0.0,70.0,10.0,1017,0.0,16.0,10.0,16.0,51.0,16.0,1,08:00 AM,06:13 PM,winter
47.92684000000001,-100.126564,2018-07-18 03:39:11,29,17,0.0,14.5,17.0,15.0,148.0,0.0,79.0,10.0,1016,7.0,17.0,13.0,17.0,31.0,17.0,1,05:00 AM,08:32 PM,summer
45.61236,-103.69033,2018-11-30 15:21:28,6,1,0.0,5.1,6.0,12.0,119.0,0.0,75.0,10.0,1004,70.0,6.0,2.0,4.0,16.0,4.0,1,07:14 AM,04:13 PM,autumn
51.584637,-86.50793,2018-09-13 23:37:44,25,13,0.0,11.6,17.0,18.0,193.0,0.0,75.0,10.0,1015,3.0,17.0,12.0,17.0,32.0,17.0,1,06:18 AM,07:05 PM,autumn
29.347471,-113.25187,2019-01-30 09:28:05,22,8,0.0,8.7,11.0,5.0,112.0,0.0,32.0,10.0,1015,45.0,12.0,-4.0,12.0,14.0,12.0,1,06:23 AM,05:10 PM,winter
42.232056,-80.400345,2018-09-19 11:31:48,20,17,0.0,10.2,19.0,12.0,23.0,0.0,74.0,10.0,1017,9.0,19.0,14.0,19.0,15.0,19.0,1,06:06 AM,06:24 PM,autumn
39.4391,-107.81816,2018-04-19 17:03:42,17,1,0.0,13.3,17.0,23.0,200.0,0.0,16.0,10.0,1008,17.0,17.0,-9.0,17.0,27.0,17.0,1,05:28 AM,06:53 PM,spring
28.492226,-81.91874,2018-06-20 09:10:29,33,24,0.0,14.0,31.0,6.0,237.0,2.8,59.0,7.0,1014,15.0,36.0,23.0,32.0,10.0,36.0,1,05:31 AM,07:28 PM,summer
34.917274,-104.963936,2018-08-12 09:58:53,27,18,0.0,13.3,22.0,1.0,254.0,0.0,45.0,10.0,1019,5.0,24.0,10.0,22.0,2.0,22.0,1,05:18 AM,06:51 PM,summer
46.995342,-93.625336,2018-07-11 03:20:22,29,17,0.0,12.6,17.0,11.0,141.0,0.0,72.0,10.0,1017,22.0,17.0,12.0,17.0,23.0,17.0,1,04:31 AM,08:09 PM,summer
37.49834,-101.854225,2018-12-28 12:00:01,-5,-10,0.0,8.7,-6.0,23.0,5.0,0.0,79.0,10.0,1029,57.0,-6.0,-9.0,-13.0,28.0,-13.0,1,08:01 AM,05:37 PM,winter
29.391249,-116.47643,2018-01-08 12:13:20,23,18,0.0,10.6,23.0,17.0,111.0,0.0,38.0,10.0,1013,9.0,24.0,8.0,23.0,19.0,24.0,1,07:42 AM,06:04 PM,winter
51.715893,-100.43673,2019-04-05 14:54:48,2,-4,0.3,10.3,-0.0,12.0,28.0,0.0,53.0,10.0,1020,43.0,-0.0,-9.0,-4.0,14.0,-4.0,1,06:08 AM,07:22 PM,spring
33.745670000000004,-81.20488,2019-02-28 05:12:55,15,7,0.0,7.3,8.0,5.0,258.0,0.0,74.0,2.0,1020,38.0,9.0,4.0,8.0,18.0,8.0,1,06:55 AM,06:20 PM,winter
33.610493,-98.54121,2018-01-11 12:42:04,14,1,0.0,7.1,3.0,41.0,344.0,0.0,43.0,10.0,1017,100.0,3.0,-9.0,-4.0,47.0,-4.0,1,07:39 AM,05:46 PM,winter
31.267601000000006,-116.46339,2018-09-12 05:33:18,26,18,0.0,11.6,18.0,1.0,182.0,0.0,61.0,10.0,1011,0.0,19.0,11.0,19.0,2.0,19.0,1,05:29 AM,05:55 PM,autumn
49.494556,-102.16718,2018-10-10 14:59:26,2,-3,0.0,7.0,1.0,17.0,16.0,0.0,59.0,10.0,1026,100.0,1.0,-6.0,-3.0,19.0,-3.0,1,07:02 AM,06:08 PM,autumn
31.209503,-115.97723,2019-04-30 22:49:55,18,10,0.0,13.2,12.0,10.0,295.0,0.1,80.0,10.0,1014,70.0,14.0,8.0,12.0,21.0,12.0,1,05:00 AM,06:22 PM,spring
34.3693,-115.54745,2018-09-10 05:55:04,36,24,0.0,11.6,24.0,3.0,278.0,0.0,25.0,10.0,1008,0.0,24.0,3.0,24.0,6.0,24.0,1,05:22 AM,05:56 PM,autumn
43.27634000000001,-118.12248999999998,2019-04-19 21:32:23,18,9,0.0,11.6,14.0,15.0,245.0,0.1,56.0,10.0,1007,64.0,14.0,5.0,13.0,31.0,13.0,1,06:04 AM,07:40 PM,spring
31.640253,-77.72231,2019-05-01 18:36:05,25,22,0.0,10.4,24.0,17.0,135.0,0.0,75.0,10.0,1024,12.0,26.0,20.0,24.0,23.0,26.0,1,06:26 AM,07:51 PM,spring
28.805288,-97.629555,2018-08-03 21:56:41,36,24,0.0,13.7,28.0,22.0,135.0,0.0,68.0,10.0,1014,6.0,30.0,21.0,28.0,34.0,30.0,1,05:53 AM,07:20 PM,summer
32.755657,-77.10712,2018-06-09 06:17:48,29,24,0.0,14.2,25.0,2.0,103.0,0.0,85.0,10.0,1020,31.0,28.0,23.0,26.0,3.0,28.0,1,06:00 AM,08:15 PM,summer
45.95002,-81.41103000000003,2018-02-14 22:19:58,0,-6,0.0,3.8,-0.0,12.0,211.0,0.0,95.0,2.0,1009,100.0,-0.0,-1.0,-4.0,18.0,-4.0,1,07:30 AM,05:51 PM,winter
47.859608,-82.43474,2018-11-22 00:55:36,-10,-21,0.0,8.7,-20.0,9.0,312.0,0.0,98.0,0.0,1037,49.0,-20.0,-20.0,-27.0,16.0,-27.0,1,07:46 AM,04:45 PM,autumn
37.3418,-95.47164,2018-06-16 23:23:32,32,24,0.0,14.4,26.0,14.0,178.0,0.0,77.0,10.0,1012,7.0,28.0,22.0,26.0,29.0,28.0,1,05:01 AM,07:45 PM,summer
51.756,-89.34748,2018-07-27 09:58:24,25,12,0.0,14.5,19.0,14.0,356.0,0.0,49.0,10.0,1016,10.0,20.0,8.0,20.0,17.0,20.0,1,05:13 AM,08:54 PM,summer
28.93502,-108.25436,2018-12-05 13:23:42,17,4,0.0,7.1,15.0,16.0,206.0,0.0,34.0,10.0,1017,10.0,15.0,-1.0,15.0,19.0,15.0,1,06:52 AM,05:15 PM,winter
40.566364,-120.4677,2018-10-12 14:16:39,15,1,0.0,8.7,15.0,10.0,95.0,0.0,23.0,10.0,1014,0.0,15.0,-6.0,15.0,12.0,15.0,1,06:10 AM,05:26 PM,autumn
45.63555,-91.85004,2019-02-17 08:00:06,-7,-13,0.0,3.9,-13.0,7.0,76.0,0.0,85.0,7.0,1021,86.0,-12.0,-14.0,-17.0,23.0,-17.0,1,07:07 AM,05:37 PM,winter
29.760340000000006,-96.7951,2018-06-08 05:17:48,33,23,0.0,13.4,23.0,5.0,166.0,0.0,97.0,0.0,1016,100.0,25.0,22.0,23.0,11.0,25.0,1,05:26 AM,07:27 PM,summer
44.573,-79.888275,2018-06-23 04:24:01,19,15,0.0,9.8,15.0,17.0,106.0,3.7,97.0,7.0,1010,88.0,15.0,14.0,14.0,31.0,14.0,1,04:35 AM,08:08 PM,summer
30.911951,-88.72286,2019-01-11 06:08:27,11,1,0.0,8.7,2.0,5.0,47.0,0.0,77.0,10.0,1026,6.0,2.0,-1.0,2.0,12.0,2.0,1,06:54 AM,05:12 PM,winter
31.740240000000004,-109.441124,2018-02-05 12:11:17,21,9,0.0,8.7,18.0,11.0,186.0,0.0,19.0,10.0,1015,0.0,18.0,-6.0,18.0,13.0,18.0,1,07:08 AM,05:56 PM,winter
42.693165,-81.46546,2018-06-30 18:25:37,31,20,0.0,14.5,27.0,16.0,212.0,0.0,83.0,10.0,1014,0.0,31.0,24.0,27.0,26.0,31.0,1,04:51 AM,08:08 PM,summer
47.625305,-113.185844,2018-05-17 09:35:08,15,6,0.0,14.5,11.0,1.0,343.0,0.0,74.0,10.0,1013,33.0,11.0,7.0,11.0,1.0,11.0,1,04:53 AM,08:06 PM,spring
28.785263,-77.88428499999998,2018-04-30 04:01:58,25,24,0.0,11.6,24.0,21.0,55.0,0.0,58.0,10.0,1019,0.0,26.0,15.0,24.0,28.0,26.0,1,06:31 AM,07:47 PM,spring
41.449547,-99.68265,2018-10-26 08:13:02,19,8,0.0,8.7,8.0,14.0,304.0,0.0,61.0,10.0,1013,9.0,8.0,1.0,6.0,29.0,6.0,1,07:03 AM,05:42 PM,autumn
38.5656,-106.42358,2019-03-03 23:59:15,7,2,0.3,10.2,2.0,10.0,141.0,0.2,61.0,7.0,1015,72.0,3.0,-4.0,0.0,8.0,0.0,1,06:35 AM,06:01 PM,spring
44.320633,-88.50783,2018-08-02 02:31:01,20,15,0.0,10.3,16.0,5.0,185.0,0.0,95.0,2.0,1012,25.0,16.0,15.0,16.0,10.0,16.0,1,04:42 AM,07:18 PM,summer
33.38788,-110.30483999999998,2018-09-15 08:00:20,34,23,0.0,11.6,23.0,10.0,67.0,0.0,31.0,10.0,1013,0.0,24.0,5.0,23.0,22.0,24.0,1,06:05 AM,06:27 PM,autumn
36.345497,-119.59839,2018-08-08 07:01:26,39,16,0.0,13.5,22.0,5.0,304.0,0.0,27.0,10.0,1014,0.0,24.0,5.0,25.0,6.0,25.0,1,05:11 AM,06:57 PM,summer
28.59366,-85.45392,2018-07-24 15:27:12,30,25,0.0,13.8,30.0,15.0,246.0,0.0,60.0,10.0,1011,10.0,33.0,21.0,30.0,19.0,33.0,1,05:59 AM,07:38 PM,summer
29.524958,-86.184105,2018-10-07 03:47:33,30,25,0.0,11.6,25.0,14.0,90.0,0.0,77.0,10.0,1017,0.0,27.0,21.0,25.0,24.0,27.0,1,05:42 AM,05:23 PM,autumn
35.38237,-110.62671,2018-10-12 06:52:50,18,13,0.0,8.7,13.0,6.0,2.0,0.0,68.0,10.0,1015,77.0,13.0,7.0,13.0,9.0,13.0,1,06:26 AM,05:51 PM,autumn
35.29372,-89.89126999999998,2018-08-05 11:19:45,30,23,0.0,13.3,27.0,9.0,211.0,0.0,77.0,10.0,1021,35.0,31.0,23.0,27.0,11.0,31.0,1,05:12 AM,06:59 PM,summer
44.341297,-78.98467,2018-12-05 02:00:34,0,-4,0.0,6.9,-4.0,9.0,220.0,0.0,78.0,10.0,1018,44.0,-4.0,-7.0,-8.0,15.0,-8.0,1,07:36 AM,04:37 PM,winter
28.725252,-93.62169,2018-05-30 21:06:16,29,27,0.0,10.4,28.0,22.0,162.0,0.0,80.0,10.0,1010,27.0,31.0,24.0,28.0,31.0,31.0,1,06:17 AM,08:07 PM,spring
31.838676,-81.93887,2019-01-15 09:43:22,12,4,0.0,8.7,6.0,3.0,316.0,0.1,80.0,10.0,1023,58.0,7.0,3.0,7.0,12.0,7.0,1,07:29 AM,05:47 PM,winter
52.365902,-109.11683,2018-04-29 08:22:34,15,7,0.0,13.5,14.0,19.0,2.0,0.0,66.0,10.0,997,100.0,14.0,7.0,12.0,35.0,12.0,1,05:49 AM,08:39 PM,spring
29.695053,-102.82805,2018-12-31 06:01:17,16,4,0.0,10.6,4.0,18.0,237.0,0.0,54.0,10.0,1013,0.0,4.0,-4.0,0.0,38.0,0.0,1,07:47 AM,06:03 PM,winter
36.22524,-99.804245,2018-12-16 14:05:22,14,2,0.0,8.7,11.0,18.0,1.0,0.0,32.0,10.0,1025,0.0,11.0,-5.0,9.0,21.0,9.0,1,07:44 AM,05:26 PM,winter
50.58097,-77.75997,2019-04-02 05:08:56,2,-4,3.1,8.1,-4.0,10.0,205.0,1.1,94.0,3.0,1014,93.0,-4.0,-5.0,-8.0,16.0,-8.0,1,05:46 AM,06:45 PM,spring
48.208664,-119.223,2019-02-22 18:13:22,-3,-6,0.4,4.0,-3.0,9.0,190.0,0.5,76.0,7.0,1013,65.0,-2.0,-6.0,-6.0,19.0,-6.0,1,06:51 AM,05:30 PM,winter
32.88917,-109.517914,2018-01-08 14:31:34,18,9,0.0,8.7,15.0,14.0,106.0,0.0,33.0,10.0,1019,6.0,15.0,-1.0,15.0,16.0,15.0,1,07:22 AM,05:29 PM,winter
37.354015,-121.823845,2018-11-28 14:33:01,16,13,0.0,8.7,16.0,7.0,205.0,0.0,72.0,10.0,1011,45.0,16.0,11.0,16.0,8.0,16.0,1,07:00 AM,04:50 PM,autumn
45.84477,-102.93601,2019-01-21 22:48:44,-10,-13,9.4,3.4,-21.0,19.0,243.0,3.3,87.0,2.0,1019,100.0,-17.0,-12.0,-21.0,24.0,-21.0,1,07:25 AM,04:41 PM,winter
39.21618,-88.90815,2018-10-18 05:30:28,15,3,0.0,8.7,5.0,12.0,38.0,0.0,58.0,10.0,1034,0.0,5.0,-3.0,2.0,24.0,2.0,1,06:08 AM,05:13 PM,autumn
30.592426,-81.2673,2019-01-10 00:17:04,10,3,0.0,8.7,7.0,17.0,311.0,0.0,55.0,10.0,1020,0.0,8.0,-1.0,5.0,36.0,5.0,1,07:24 AM,05:42 PM,winter
