,Latitude,Longitude,BirthDate,BirthDateTime,SeasonRegressionEncoding,SeasonFrankHalEncodingSpring,SeasonFrankHalEncodingSummer,SeasonFrankHalEncodingFall,sunriseTimeRaw,sunsetTimeRaw,moonPhase,precipIntensityMax,precipProbability,precipTypeRaw,temperatureHigh,temperatureLow,dewPoint,humidity,windSpeed,cloudCover,uvIndex,visibility,sunriseTimeMinute,sunsetTimeMinute,dayDuration,temperatureChange,PrecipType_None,PrecipType_rain,PrecipType_snow
18,40.64638,-103.17709,1527206929,2018-05-25 00:08:49,1,1,0,0,1527161400.0,1527214320.0,0.35,0.0,0.0,None,85.38,49.95,50.44,0.58,3.72,0.07,11.0,9.997,690.0,1572.0,882.0,35.42999999999999,1,0,0
20,44.94255,-97.25205,1532434556,2018-07-24 12:15:56,2,1,1,0,1532430420.0,1532484360.0,0.42,0.0291,0.29,rain,84.09,63.41,57.21,0.68,5.31,0.1,9.0,9.918,667.0,1566.0,899.0,20.680000000000007,0,1,0
21,31.158457,-92.54634,1540035191,2018-10-20 11:33:11,3,1,1,1,1540037880.0,1540078440.0,0.38,0.0099,0.88,rain,69.13,51.14,64.89,0.95,3.57,0.84,4.0,8.517,738.0,1414.0,676.0,17.989999999999995,0,1,0
27,42.58708,-86.60515,1526472742,2018-05-16 12:12:22,1,1,0,0,1526466300.0,1526519040.0,0.06,0.0,0.0,None,73.6,49.69,51.14,0.71,3.17,0.04,10.0,9.211,625.0,1504.0,879.0,23.909999999999997,1,0,0
29,32.767445,-117.67939,1515136770,2018-01-05 07:19:30,0,0,0,0,1515077700.0,1515113940.0,0.62,0.0012,0.16,rain,70.91,55.74,51.12,0.69,2.92,0.28,3.0,6.958,895.0,1499.0,604.0,15.169999999999995,0,1,0
30,45.86875,-119.75324,1534058238,2018-08-12 07:17:18,2,1,1,0,1534078620.0,1534130040.0,0.07,0.0,0.0,None,81.91,52.61,50.18,0.52,2.45,0.0,8.0,3.354,777.0,1634.0,857.0,29.299999999999997,1,0,0
31,44.79267,-104.10527,1539489197,2018-10-14 03:53:17,3,1,1,1,1539436260.0,1539476220.0,0.17,0.001,0.07,rain,42.66,22.07,26.97,0.7,10.74,0.78,3.0,5.961,791.0,1457.0,666.0,20.589999999999996,0,1,0
32,31.376484,-89.254875,1530654737,2018-07-03 21:52:17,2,1,1,0,1530615480.0,1530666420.0,0.68,0.0033,0.63,rain,87.35,72.48,73.95,0.85,6.05,0.65,8.0,9.164,658.0,1507.0,849.0,14.86999999999999,0,1,0
33,35.506897,-99.30154,1543956949,2018-12-04 20:55:49,0,0,0,0,1543930320.0,1543965960.0,0.93,0.0071,0.34,snow,38.25,23.19,21.83,0.8,3.32,0.41,2.0,9.732,812.0,1406.0,594.0,15.059999999999999,0,0,1
34,45.808186,-100.26336,1547545003,2019-01-15 09:36:43,0,0,0,0,1547561940.0,1547594640.0,0.31,0.0,0.0,None,25.29,2.71,19.55,0.96,10.38,0.86,1.0,6.402,859.0,1404.0,545.0,22.58,1,0,0
36,45.72394,-90.22702,1538803249,2018-10-06 05:20:49,3,1,1,1,1538827620.0,1538868780.0,0.92,0.0081,0.8,rain,45.91,38.76,41.91,0.93,3.84,1.0,3.0,8.293,727.0,1413.0,686.0,7.149999999999999,0,1,0
37,36.42085,-102.575356,1521478073,2018-03-19 16:47:53,1,1,0,0,1521464160.0,1521507720.0,0.09,0.0,0.0,None,49.87,22.08,27.33,0.55,18.24,0.3,7.0,9.997,776.0,1502.0,726.0,27.79,1,0,0
38,37.615288,-122.882515,1532202075,2018-07-21 19:41:15,2,1,1,0,1532178480.0,1532230200.0,0.33,0.0021,0.21,rain,72.9,58.8,55.13,0.72,6.11,0.21,8.0,9.997,788.0,1650.0,862.0,14.100000000000009,0,1,0
39,40.755524,-100.60861,1549388650,2019-02-05 17:44:10,0,0,0,0,1549374600.0,1549411560.0,0.04,0.0,0.0,None,19.51,12.24,2.97,0.64,6.39,0.71,2.0,9.997,830.0,1446.0,616.0,7.270000000000001,1,0,0
41,35.36288,-84.769554,1519112161,2018-02-20 07:36:01,0,0,0,0,1519129260.0,1519169220.0,0.17,0.0,0.0,None,75.75,65.38,58.0,0.77,4.13,0.76,4.0,9.603,741.0,1407.0,666.0,10.370000000000005,1,0,0
45,35.95378,-119.26054,1534142511,2018-08-13 06:41:51,2,1,1,0,1534079700.0,1534128720.0,0.07,0.0014,0.13,rain,101.12,63.17,51.67,0.37,4.09,0.0,10.0,9.828,795.0,1612.0,817.0,37.95,0,1,0
46,43.67663,-91.13787,1537431385,2018-09-20 08:16:25,3,1,1,1,1537444260.0,1537488420.0,0.38,0.1979,0.74,rain,73.79,58.02,65.11,0.94,5.44,0.81,4.0,7.657,711.0,1447.0,736.0,15.770000000000003,0,1,0
47,37.765194,-86.72093,1547766577,2019-01-17 23:09:37,0,0,0,0,1547730060.0,1547765700.0,0.38,0.025,1.0,rain,46.19,35.73,41.42,0.96,5.13,1.0,2.0,7.559,781.0,1375.0,594.0,10.46,0,1,0
48,36.145252,-100.67764,1555622809,2019-04-18 21:26:49,1,1,0,0,1555589220.0,1555636800.0,0.49,0.0395,0.75,rain,65.96,38.16,38.98,0.58,17.81,0.27,8.0,9.997,727.0,1520.0,793.0,27.799999999999997,0,1,0
49,47.93766,-113.93935,1556649493,2019-04-30 18:38:13,1,1,0,0,1556626800.0,1556678880.0,0.88,0.0,0.0,None,44.0,23.39,12.77,0.48,3.15,0.24,8.0,9.997,740.0,1608.0,868.0,20.61,1,0,0
50,37.6193,-85.48024,1536296344,2018-09-07 04:59:04,3,1,1,1,1536319140.0,1536365040.0,0.93,0.0042,0.21,rain,86.6,71.38,69.86,0.8,1.74,0.14,7.0,9.841,679.0,1444.0,765.0,15.219999999999999,0,1,0
51,31.557007,-104.637405,1520050925,2018-03-03 04:22:05,1,1,0,0,1519997100.0,1520038740.0,0.54,0.0,0.0,None,68.58,50.47,17.18,0.26,8.21,0.0,7.0,9.997,805.0,1499.0,694.0,18.11,1,0,0
53,38.74122,-91.97677,1555749705,2019-04-20 08:41:45,1,1,0,0,1555759560.0,1555807800.0,0.56,0.0,0.0,None,71.18,45.13,32.81,0.46,4.31,0.0,9.0,9.97,686.0,1490.0,804.0,26.050000000000004,1,0,0
55,35.15074,-110.985306,1556798709,2019-05-02 12:05:09,1,1,0,0,1556800380.0,1556849460.0,0.94,0.0,0.0,None,74.0,41.0,26.58,0.32,9.21,0.0,11.0,3.091,753.0,1571.0,818.0,33.0,1,0,0
56,35.884483,-117.53923,1540228937,2018-10-22 17:22:17,3,1,1,1,1540217100.0,1540256820.0,0.45,0.0,0.0,None,73.08,49.7,35.87,0.4,4.89,0.11,5.0,9.966,845.0,1507.0,662.0,23.379999999999995,1,0,0
59,34.447628,-112.595146,1546390407,2019-01-02 00:53:27,0,0,0,0,1546353480.0,1546389120.0,0.88,0.0017,0.05,snow,31.92,15.23,11.12,0.61,6.39,0.15,3.0,9.729,878.0,1472.0,594.0,16.69,0,0,1
60,42.27938,-87.44295,1548909399,2019-01-31 04:36:39,0,0,0,0,1548853560.0,1548889320.0,0.85,0.0,0.0,None,-12.05,-21.98,-28.17,0.55,10.77,0.08,2.0,9.921,786.0,1382.0,596.0,9.93,1,0,0
62,32.954674,-108.47925,1555053434,2019-04-12 07:17:14,1,1,0,0,1555073340.0,1555119780.0,0.26,0.0019,0.12,rain,51.54,32.64,20.71,0.4,4.67,0.74,5.0,9.997,769.0,1543.0,774.0,18.9,0,1,0
64,37.15918,-88.328,1540285736,2018-10-23 09:08:56,3,1,1,1,1540296600.0,1540336020.0,0.48,0.0,0.0,None,72.51,38.61,39.88,0.64,2.51,0.0,5.0,9.959,730.0,1387.0,657.0,33.900000000000006,1,0,0
65,41.92285,-121.86322,1533316442,2018-08-03 17:14:02,2,1,1,0,1533301500.0,1533353100.0,0.73,0.0,0.0,None,80.3,41.47,38.77,0.46,4.84,0.76,8.0,2.543,785.0,1645.0,860.0,38.83,1,0,0
66,42.37016,-120.380684,1540565508,2018-10-26 14:51:48,3,1,1,1,1540564140.0,1540602240.0,0.59,0.0,0.0,None,66.26,39.12,33.31,0.48,5.85,0.22,3.0,9.997,869.0,1504.0,635.0,27.140000000000008,1,0,0
67,48.18196,-92.44564,1515373236,2018-01-08 01:00:36,0,0,0,0,1515333600.0,1515364440.0,0.72,0.0,0.0,None,23.18,22.18,11.53,0.79,5.0,1.0,1.0,9.441,840.0,1354.0,514.0,1.0,1,0,0
68,42.37604,-92.204094,1529828801,2018-06-24 08:26:41,2,1,1,0,1529836440.0,1529891460.0,0.4,0.0083,0.13,rain,82.05,63.75,65.64,0.84,3.94,0.07,9.0,7.158,634.0,1551.0,917.0,18.299999999999997,0,1,0
69,49.229355,-95.21799,1547922709,2019-01-19 18:31:49,0,0,0,0,1547906880.0,1547938620.0,0.46,0.0,0.0,None,-10.1,-27.92,-27.92,0.69,2.18,0.0,1.0,9.947,848.0,1377.0,529.0,17.82,1,0,0
70,31.634998,-104.91936,1527637221,2018-05-29 23:40:21,1,1,0,0,1527595080.0,1527645600.0,0.51,0.0,0.0,None,96.0,77.47,12.63,0.07,12.76,0.0,12.0,9.907,718.0,1560.0,842.0,18.53,1,0,0
73,36.487244,-116.24999,1535073646,2018-08-24 01:20:46,2,1,1,0,1535029860.0,1535077620.0,0.43,0.0,0.0,None,101.21,71.73,36.17,0.16,8.71,0.0,10.0,9.997,791.0,1587.0,796.0,29.47999999999999,1,0,0
75,47.101013,-109.7899,1525884194,2018-05-09 16:43:14,1,1,0,0,1525866720.0,1525920120.0,0.81,0.2185,0.95,rain,67.01,47.55,42.64,0.66,8.11,0.48,7.0,9.636,712.0,1602.0,890.0,19.460000000000008,0,1,0
77,31.565933,-99.24589,1537347787,2018-09-19 09:03:07,3,1,1,1,1537359900.0,1537403940.0,0.34,0.0,0.0,None,90.91,70.23,67.45,0.7,7.02,0.12,8.0,9.826,745.0,1479.0,734.0,20.679999999999993,1,0,0
79,38.470768,-89.43076,1541501904,2018-11-06 10:58:24,3,1,1,1,1541507460.0,1541544840.0,0.98,0.0032,0.5,rain,60.34,35.75,43.25,0.74,9.15,0.29,3.0,9.997,751.0,1374.0,623.0,24.590000000000003,0,1,0
80,32.60319,-99.95716,1517444966,2018-02-01 00:29:26,0,0,0,0,1517405760.0,1517443980.0,0.52,0.0,0.0,None,77.97,39.95,30.38,0.34,14.38,0.0,4.0,9.997,816.0,1453.0,637.0,38.019999999999996,1,0,0
83,41.79077,-98.34157,1519844741,2018-02-28 19:05:41,0,0,0,0,1519823460.0,1519863840.0,0.47,0.0,0.0,None,37.56,20.64,24.76,0.85,6.94,0.01,4.0,9.997,791.0,1464.0,673.0,16.92,1,0,0
85,31.65978,-94.105774,1527914284,2018-06-02 04:38:04,2,1,1,0,1527851580.0,1527902280.0,0.61,0.0,0.0,None,95.96,73.97,71.67,0.71,3.61,0.49,8.0,8.804,673.0,1518.0,845.0,21.989999999999995,1,0,0
86,35.592224,-90.958664,1534122595,2018-08-13 01:09:55,2,1,1,0,1534072920.0,1534121880.0,0.07,0.0,0.0,None,91.11,70.84,72.29,0.75,4.53,0.14,10.0,9.997,682.0,1498.0,816.0,20.269999999999996,1,0,0
88,38.36817,-98.33142,1553751568,2019-03-28 05:39:28,1,1,0,0,1553775960.0,1553820840.0,0.78,0.0,0.0,None,69.21,43.63,49.78,0.74,13.17,0.58,5.0,9.855,746.0,1494.0,748.0,25.57999999999999,1,0,0
92,44.888298,-88.46875,1535237025,2018-08-25 22:43:45,2,1,1,0,1535195400.0,1535244300.0,0.49,0.3208,1.0,rain,77.48,57.22,64.43,0.88,1.31,0.85,4.0,7.344,670.0,1485.0,815.0,20.260000000000005,0,1,0
95,50.115486,-114.57831,1517695792,2018-02-03 22:09:52,0,0,0,0,1517670600.0,1517704620.0,0.63,0.0668,0.99,snow,-6.07,-27.95,-14.19,0.97,9.21,0.93,1.0,7.443,910.0,1477.0,567.0,21.88,0,0,1
97,38.773666,-82.17327,1528400050,2018-06-07 19:34:10,2,1,1,0,1528365900.0,1528419180.0,0.79,0.0,0.0,None,82.38,58.18,52.46,0.7,1.22,0.09,11.0,3.525,605.0,1493.0,888.0,24.199999999999996,1,0,0
98,42.94339,-108.21056,1516830731,2018-01-24 21:52:11,0,0,0,0,1516804560.0,1516839360.0,0.26,0.0,0.0,None,28.82,15.37,10.28,0.69,7.84,0.0,2.0,7.164,876.0,1456.0,580.0,13.450000000000001,1,0,0
99,33.42634,-90.39085,1529664380,2018-06-22 10:46:20,2,1,1,0,1529664840.0,1529716560.0,0.34,0.0502,0.46,rain,79.64,68.76,72.42,0.88,6.32,0.56,10.0,8.75,654.0,1516.0,862.0,10.879999999999995,0,1,0
101,48.237087,-106.71108,1521252636,2018-03-17 02:10:36,1,1,0,0,1521206340.0,1521249300.0,0.99,0.0151,0.8,snow,36.0,16.33,28.23,0.86,4.77,0.95,3.0,7.009,799.0,1515.0,716.0,19.67,0,0,1
103,44.32118,-118.65515,1547261961,2019-01-12 02:59:21,0,0,0,0,1547220600.0,1547253420.0,0.19,0.0054,0.34,rain,38.73,22.9,25.14,0.86,6.16,0.0,2.0,9.997,930.0,1477.0,547.0,15.829999999999998,0,1,0
106,35.830307,-86.78341,1525055174,2018-04-30 02:26:14,1,1,0,0,1524999480.0,1525048380.0,0.5,0.0,0.0,None,65.18,34.37,31.08,0.45,2.2,0.0,10.0,9.997,658.0,1473.0,815.0,30.81000000000001,1,0,0
107,39.11994,-78.438095,1517735103,2018-02-04 09:05:03,0,0,0,0,1517746740.0,1517783940.0,0.67,0.1091,0.94,snow,32.27,22.18,22.72,0.78,2.46,1.0,2.0,5.245,739.0,1359.0,620.0,10.090000000000003,0,0,1
114,46.769596,-105.803055,1518872704,2018-02-17 13:05:04,0,0,0,0,1518876300.0,1518913920.0,0.07,0.0115,0.65,snow,21.38,8.23,12.11,0.82,9.37,0.92,2.0,9.001,845.0,1472.0,627.0,13.149999999999999,0,0,1
116,45.62287,-85.20697,1541747948,2018-11-09 07:19:08,3,1,1,1,1541766840.0,1541801940.0,0.08,0.0379,1.0,snow,35.63,28.98,30.4,0.87,6.07,1.0,2.0,5.564,754.0,1339.0,585.0,6.650000000000002,0,0,1
118,39.605164,-116.18126,1517920729,2018-02-06 12:38:49,0,0,0,0,1517928480.0,1517965920.0,0.74,0.0,0.0,None,46.52,22.2,18.78,0.58,5.73,0.08,4.0,9.879,888.0,1512.0,624.0,24.320000000000004,1,0,0
119,40.978554,-111.35467,1537112085,2018-09-16 15:34:45,3,1,1,1,1537103340.0,1537148100.0,0.26,0.0,0.0,None,78.81,42.4,29.69,0.31,6.51,0.01,7.0,9.993,789.0,1535.0,746.0,36.410000000000004,1,0,0
125,39.109528,-89.51295,1529491811,2018-06-20 10:50:11,2,1,1,0,1529490780.0,1529544540.0,0.27,0.1087,1.0,rain,87.31,70.01,71.27,0.85,5.51,0.67,8.0,8.63,633.0,1529.0,896.0,17.299999999999997,0,1,0
126,47.96913,-97.18645,1516124327,2018-01-16 17:38:47,0,0,0,0,1516112040.0,1516143960.0,0.0,0.0,0.0,None,7.06,3.03,-11.13,0.75,11.06,0.33,1.0,8.232,854.0,1386.0,532.0,4.029999999999999,1,0,0
129,46.88401,-94.19306,1520754190,2018-03-11 07:43:10,1,1,0,0,1520771880.0,1520813880.0,0.83,0.0009,0.08,snow,35.5,14.6,23.96,0.8,3.1,0.7,3.0,9.288,758.0,1458.0,700.0,20.9,0,0,1
130,45.915333,-93.68283,1549540006,2019-02-07 11:46:46,0,0,0,0,1549546200.0,1549582200.0,0.1,0.0046,0.93,snow,17.2,-15.44,7.74,0.85,9.97,0.97,2.0,3.779,810.0,1410.0,600.0,32.64,0,0,1
132,40.360638,-112.11297,1544426754,2018-12-10 07:25:54,0,0,0,0,1544452920.0,1544486640.0,0.12,0.0,0.0,None,33.91,22.79,23.38,0.87,3.56,0.52,2.0,8.325,882.0,1444.0,562.0,11.119999999999997,1,0,0
137,35.762188,-80.87796,1553899911,2019-03-29 22:51:51,1,1,0,0,1553858100.0,1553902980.0,0.81,0.0,0.0,None,74.08,55.56,34.06,0.46,2.56,0.0,8.0,9.997,675.0,1423.0,748.0,18.519999999999996,1,0,0
141,38.65405,-81.60271,1547824672,2019-01-18 15:17:52,0,0,0,0,1547815380.0,1547850780.0,0.42,0.0431,0.8,rain,41.06,35.23,37.03,0.91,3.41,1.0,2.0,2.98,763.0,1353.0,590.0,5.830000000000005,0,1,0
144,46.460716,-87.35563,1540549123,2018-10-26 10:18:43,3,1,1,1,1540556640.0,1540593900.0,0.58,0.0451,1.0,rain,45.42,39.79,41.43,0.94,4.95,1.0,2.0,6.852,744.0,1365.0,621.0,5.630000000000003,0,1,0
145,34.69005,-79.14014,1519439506,2018-02-24 02:31:46,0,0,0,0,1519386840.0,1519427280.0,0.28,0.0,0.0,None,78.86,60.9,58.9,0.8,3.08,0.56,4.0,7.554,714.0,1388.0,674.0,17.96,1,0,0
151,44.28339,-96.776886,1523152498,2018-04-08 01:54:58,1,1,0,0,1523102280.0,1523149320.0,0.74,0.0,0.0,None,36.52,24.24,12.06,0.64,6.65,0.05,7.0,10.0,718.0,1502.0,784.0,12.280000000000005,1,0,0
152,44.49334,-95.69371,1517193539,2018-01-29 02:38:59,0,0,0,0,1517147220.0,1517182020.0,0.41,0.0,0.0,None,13.28,-4.12,0.95,0.72,7.99,0.55,2.0,9.97,827.0,1407.0,580.0,17.4,1,0,0
154,39.33449,-118.93303,1529948686,2018-06-25 17:44:46,2,1,1,0,1529929920.0,1529983680.0,0.44,0.0,0.0,None,98.63,55.42,28.63,0.16,8.36,0.41,8.0,9.997,752.0,1648.0,896.0,43.209999999999994,1,0,0
156,33.821754,-82.86598,1552575474,2019-03-14 14:57:54,1,1,0,0,1552563900.0,1552606740.0,0.27,0.0,0.0,None,76.97,63.69,54.46,0.79,4.92,0.45,5.0,6.907,705.0,1419.0,714.0,13.280000000000001,1,0,0
157,47.986965,-105.242584,1555175062,2019-04-13 17:04:22,1,1,0,0,1555157760.0,1555206540.0,0.3,0.0,0.0,None,57.66,37.96,16.4,0.44,7.54,0.26,7.0,9.997,736.0,1549.0,813.0,19.699999999999996,1,0,0
158,37.935635,-82.990845,1517702274,2018-02-03 23:57:54,0,0,0,0,1517661360.0,1517698740.0,0.63,0.0034,0.16,snow,39.54,33.31,13.62,0.58,3.39,0.55,3.0,9.997,756.0,1379.0,623.0,6.229999999999997,0,0,1
161,43.47,-116.724304,1530223075,2018-06-28 21:57:55,2,1,1,0,1530187800.0,1530243180.0,0.53,0.0,0.0,None,78.36,53.39,42.17,0.37,9.53,0.07,9.0,7.857,730.0,1653.0,923.0,24.97,1,0,0
165,40.128765,-84.7962,1531276190,2018-07-11 02:29:50,2,1,1,0,1531218000.0,1531271460.0,0.92,0.0304,0.04,rain,87.51,64.38,70.3,0.82,0.41,0.34,8.0,1.493,620.0,1511.0,891.0,23.13000000000001,0,1,0
167,43.946404,-111.61734,1539047336,2018-10-09 01:08:56,3,1,1,1,1539005640.0,1539046560.0,1.0,0.0,0.0,None,57.28,33.81,25.16,0.57,5.49,0.06,5.0,3.112,814.0,1496.0,682.0,23.47,1,0,0
170,35.38632,-108.91944,1538817219,2018-10-06 09:13:39,3,1,1,1,1538831760.0,1538873640.0,0.92,0.0,0.0,None,66.05,45.92,34.13,0.55,8.13,0.13,7.0,9.96,796.0,1494.0,698.0,20.129999999999995,1,0,0
172,39.854687,-89.40554,1521291748,2018-03-17 13:02:28,1,1,0,0,1521288420.0,1521331680.0,0.02,0.0379,0.77,rain,39.21,26.0,34.79,0.92,7.33,0.98,4.0,7.871,727.0,1448.0,721.0,13.21,0,1,0
173,40.57236,-97.32208,1541758818,2018-11-09 10:20:18,3,1,1,1,1541769000.0,1541805540.0,0.08,0.0017,0.25,snow,26.42,7.8,12.52,0.69,11.05,0.52,1.0,9.297,790.0,1399.0,609.0,18.62,0,0,1
178,38.17273,-104.76436,1549275708,2019-02-04 10:21:48,0,0,0,0,1549288920.0,1549326360.0,0.01,0.0,0.0,None,59.35,27.64,20.87,0.34,8.75,0.15,4.0,8.452,842.0,1466.0,624.0,31.71,1,0,0
182,42.784798,-112.27963,1531206154,2018-07-10 07:02:34,2,1,1,0,1531224120.0,1531278600.0,0.92,0.0112,0.37,rain,87.75,58.88,49.21,0.4,5.4,0.06,11.0,2.025,722.0,1630.0,908.0,28.869999999999997,0,1,0
185,43.91795,-110.75674,1547923965,2019-01-19 18:52:45,0,0,0,0,1547909580.0,1547943420.0,0.46,0.0061,0.47,snow,21.66,19.82,16.62,1.0,8.72,0.97,2.0,5.152,893.0,1457.0,564.0,1.8399999999999999,0,0,1
186,34.42518,-78.4193,1523375666,2018-04-10 15:54:26,1,1,0,0,1523357340.0,1523403720.0,0.83,0.0039,0.57,rain,60.99,39.1,44.52,0.78,2.64,0.53,7.0,9.07,649.0,1422.0,773.0,21.89,0,1,0
188,38.812035,-83.83537,1525014592,2018-04-29 15:09:52,1,1,0,0,1524998460.0,1525048020.0,0.5,0.0,0.0,None,59.16,34.13,29.78,0.53,2.46,0.03,10.0,2.044,641.0,1467.0,826.0,25.029999999999994,1,0,0
189,34.456577,-81.64526,1547314307,2019-01-12 17:31:47,0,0,0,0,1547296500.0,1547332620.0,0.21,0.015,0.95,rain,40.45,33.02,26.55,0.68,4.34,0.89,2.0,9.865,755.0,1357.0,602.0,7.43,0,1,0
191,40.22315,-113.46231,1539069551,2018-10-09 07:19:11,3,1,1,1,1539092400.0,1539133500.0,0.03,0.0095,0.06,rain,60.12,42.48,34.79,0.68,9.81,0.75,4.0,10.0,820.0,1505.0,685.0,17.64,0,1,0
192,45.314083,-122.37912,1539274099,2018-10-11 16:08:19,3,1,1,1,1539267720.0,1539307980.0,0.11,0.0,0.0,None,68.4,42.17,41.3,0.66,3.39,0.17,4.0,8.753,862.0,1533.0,671.0,26.230000000000004,1,0,0
193,31.738596,-109.826935,1532372933,2018-07-23 19:08:53,2,1,1,0,1532349060.0,1532398980.0,0.39,0.0013,0.2,rain,99.34,70.93,49.83,0.34,5.52,0.03,12.0,9.997,751.0,1583.0,832.0,28.409999999999997,0,1,0
196,38.71088,-76.326065,1532328939,2018-07-23 06:55:39,2,1,1,0,1532340000.0,1532391960.0,0.38,0.0584,0.66,rain,83.59,73.7,74.35,0.85,11.57,0.71,6.0,9.237,600.0,1466.0,866.0,9.89,0,1,0
198,42.526966,-96.92053,1519741965,2018-02-27 14:32:45,0,0,0,0,1519736820.0,1519776960.0,0.43,0.0,0.0,None,39.96,19.64,26.97,0.84,2.98,0.0,4.0,9.725,787.0,1456.0,669.0,20.32,1,0,0
199,38.88038,-87.86879,1542880433,2018-11-22 09:53:53,3,1,1,1,1542890640.0,1542926100.0,0.5,0.0,0.0,None,56.15,34.94,33.98,0.8,4.16,0.02,3.0,6.806,764.0,1355.0,591.0,21.21,1,0,0
200,30.93438,-83.33744,1546955390,2019-01-08 13:49:50,0,0,0,0,1546950780.0,1546987740.0,0.09,0.0069,0.68,rain,71.65,53.26,52.03,0.84,2.66,0.11,4.0,9.841,753.0,1369.0,616.0,18.390000000000008,0,1,0
201,47.24626,-115.463974,1524638648,2018-04-25 06:44:08,1,1,0,0,1524659760.0,1524710760.0,0.37,0.0,0.0,None,64.12,36.41,27.03,0.45,4.66,0.0,8.0,6.844,756.0,1606.0,850.0,27.710000000000008,1,0,0
207,36.869698,-76.97157,1540429467,2018-10-25 01:04:27,3,1,1,1,1540380300.0,1540419660.0,0.51,0.002,0.07,rain,60.83,35.16,37.98,0.66,4.07,0.01,4.0,9.996,685.0,1341.0,656.0,25.67,0,1,0
208,38.504623,-105.113815,1541584607,2018-11-07 09:56:47,3,1,1,1,1541597700.0,1541634960.0,0.02,0.0,0.0,None,44.33,28.28,26.52,0.74,5.26,0.68,3.0,6.669,815.0,1436.0,621.0,16.049999999999997,1,0,0
209,46.180233,-84.37613,1529738851,2018-06-23 07:27:31,2,1,1,0,1529747280.0,1529804040.0,0.37,0.0,0.0,None,76.69,57.57,54.59,0.74,5.01,0.37,9.0,9.999,588.0,1534.0,946.0,19.119999999999997,1,0,0
211,49.75425,-113.64469,1523775284,2018-04-15 06:54:44,1,1,0,0,1523796120.0,1523845740.0,0.0,0.0,0.0,None,50.84,30.15,30.78,0.69,7.66,0.84,5.0,8.996,762.0,1589.0,827.0,20.690000000000005,1,0,0
212,34.492737,-102.458664,1525171117,2018-05-01 10:38:37,1,1,0,0,1525176060.0,1525224900.0,0.57,0.0,0.0,None,81.69,55.16,42.28,0.48,16.08,0.09,11.0,9.997,721.0,1535.0,814.0,26.53,1,0,0
